,Country,IATA
0,Spain,BCN
1,France,CDG
2,Switzerland,ZRH
3,Norway,OSL
4,Bulgaria,SOF
5,Iceland,KEF
6,Scotland,EDI
7,Italy,FCO
8,Wales,CWL
9,Sweden,ARN
10,Slovenia,LJU
11,Georgia,TBS
12,The Balkans,SOF
13,Slovakia,BTS
14,Corsica,AJA
15,Croatia,DBV
16,Montenegro,TIV
17,Madeira,FNC
18,Poland,WAW
19,UK,LHR
20,Portugal,LIS
21,North Cap,OSL
22,Germany,BER
23,Greece,ATH
24,Austria,VIE
25,Romania,OTP
26,Luxembourg,LUX
27,England,LHE
28,Albania,TIA
29,Netherlands,AMS
30,Ireland,DUB
31,Canary Islands,BCN
32,Tenerife,TFS
33,Denmark,CPH
34,Northern Ireland,BFS
