,City,Country
0,Peniche,Portugal
1,Basque Country,Spain
2,Biarritz,France
3,Varazze,Italy
4,Cornwall,U.K.
5,Achill Island,Ireland
6,Halland,Sweden
7,Pomerania,Poland
8,Tinos,Greece
9,Godrevy Beach,England
11,Hoddevik,Norway
12,San Sebastien,Spain
13,La Gravière,France
14,Watergate Bay,England
15,Scheveningen,Netherlands
16,The Bubble,Canary Islands
17,Kolimbithra,Greece
18,Playa de las Americas,Tenerife
19,Praia da Arda,Portugal
20,Bundoran Beach,Ireland
21,Caparica,Portugal
23,Sagres,Portugal
24,Ericeira,Portugal
25,Lofoten,Norway
26,San sebastian,Spain
27,Mundaka,Spain
28,Playa de rodilles,Spain
29,Watergate bay,England
30,Sennen cove,England
32,Lacanau,France
33,Hossegor,France
34,Klitmøller,Denmark
35,The bubble,Canary Islands
36,Playa de las americas,Tenerife
37,Bundoran beach,Ireland
38,Mullaghmore,County Donegal
39,Sardinia,Italy
40,Portrush,Northern Ireland
41,Thurso,Scotland
42,Unstad Bay,Norway
44,Staithes,England
45,Nazaré,Portugal
46,The Peak,Ireland
48,Sennen Cove,England
49,Supertubos,Portugal
