City,Country,Activities
Peniche,Portugal,Surfing
Basque Country,Spain,Surfing
Biarritz,France,Surfing
Varazze,Italy,Surfing
Cornwall,U.K.,Surfing
Achill Island,Ireland,Surfing
Halland,Sweden,Surfing
Pomerania,Poland,Surfing
Tinos,Greece,Surfing
Godrevy Beach,England,Surfing
Hoddevik,Norway,Surfing
San Sebastien,Spain,Surfing
La Gravière,France,Surfing
Watergate Bay,England,Surfing
Scheveningen,Netherlands,Surfing
The Bubble,Canary Islands,Surfing
Kolimbithra,Greece,Surfing
Playa de las Americas,Tenerife,Surfing
Praia da Arda,Portugal,Surfing
Bundoran Beach,Ireland,Surfing
Caparica,Portugal,Surfing
Sagres,Portugal,Surfing
Ericeira,Portugal,Surfing
Lofoten,Norway,Surfing
San sebastian,Spain,Surfing
Mundaka,Spain,Surfing
Playa de rodilles,Spain,Surfing
Watergate bay,England,Surfing
Sennen cove,England,Surfing
Lacanau,France,Surfing
Hossegor,France,Surfing
Klitmøller,Denmark,Surfing
The bubble,Canary Islands,Surfing
Playa de las americas,Tenerife,Surfing
Bundoran beach,Ireland,Surfing
Mullaghmore,County Donegal,Surfing
Sardinia,Italy,Surfing
Portrush,Northern Ireland,Surfing
Thurso,Scotland,Surfing
Unstad Bay,Norway,Surfing
Staithes,England,Surfing
Nazaré,Portugal,Surfing
The Peak,Ireland,Surfing
Sennen Cove,England,Surfing
Supertubos,Portugal,Surfing
